4,GREEDY,GRASP3,GRASP5,EXTRAMIL
data/d493.tsp,0.001789,0.385328,2.65751,0.506459
data/u574.tsp,0.001845,3.787769,4.851883,0.818782
data/pr439.tsp,0.001219,0.71504,2.111312,0.379096
data/att532.tsp,0.001879,4.817505,0.777531,0.664214
data/d657.tsp,0.002469,1.238929,4.692841,1.204318
data/vm1084.tsp,0.007259,1.095316,4.351879,5.464333
data/pcb442.tsp,0.001197,0.766936,0.168119,0.369093
data/gr431.tsp,0.001286,4.880271,4.906902,0.353817
data/rat783.tsp,0.00397,1.716864,1.273293,2.128792
data/p654.tsp,0.002632,3.827561,0.878992,1.190501
data/u724.tsp,0.003033,0.38534,4.411685,1.611063
data/pr1002.tsp,0.005957,2.90043,1.885271,4.435743
data/gr666.tsp,0.002947,3.301893,1.673156,1.310108
data/rd400.tsp,0.00124,3.035381,0.487232,0.275991
data/ali535.tsp,0.00184,1.261011,2.050044,0.665997
data/rat575.tsp,0.002002,4.378364,0.504268,0.837396
data/dsj1000.tsp,0.007403,1.249496,4.050333,4.399796
data/lin318.tsp,0.000681,3.089598,2.905309,0.141029
