4,GREEDY,GRASP3,GRASP5,EXTRAMIL
data/d493.tsp,0.015356,3.988415,4.931383,0.581703
data/u574.tsp,0.01917,1.543107,2.567207,0.916724
data/pr439.tsp,0.029276,0.199286,4.672852,0.444566
data/att532.tsp,0.026418,3.913232,3.121026,0.776227
data/d657.tsp,0.017793,2.28028,0.909197,1.202114
data/vm1084.tsp,0.096235,3.025344,2.224581,5.413291
data/pcb442.tsp,0.016396,1.395824,2.929498,0.383832
data/gr431.tsp,0.01701,1.695305,4.321912,0.37345
data/rat783.tsp,0.0615,4.178195,3.080657,2.151974
data/p654.tsp,0.023657,0.701245,3.569721,1.197009
data/u724.tsp,0.020243,1.944343,2.317931,1.939651
data/pr1002.tsp,0.109733,1.368926,3.686314,4.431728
data/gr666.tsp,0.040917,1.766815,4.953824,1.569208
data/rd400.tsp,0.016925,0.139916,0.279725,0.317266
data/ali535.tsp,0.04276,3.826186,2.834174,0.759705
data/rat575.tsp,0.033154,2.381258,0.319322,0.942714
data/dsj1000.tsp,0.161257,0.508439,2.973234,4.934339
data/lin318.tsp,0.010977,1.190645,1.193924,0.158527
